Material_Type,Product_Type,Industry,Strength (1-10),Weight Capacity (kg),Biodegradability Score (1-10),Recyclability (%),Cost (USD),CO2 Emission (kg CO2/kg)
Corrugated Cardboard,Laundry Detergent Box,Household,5,2.91,10,70.07,1.9,1.81
PET Plastic,Face Wash Tube,Personal Care,8,0.31,1,79.13,3.47,4.24
Glass,Cooking Oil Bottle,Food & Beverage,3,2.79,2,80.42,6.16,4.27
Recycled Plastic,Yogurt Cup,Food & Beverage,8,0.45,1,70.8,1.11,2.2
Recycled Plastic,Sauce Bottle,Food & Beverage,10,1.21,2,81.63,1.41,3.1
PET Plastic,Shampoo Bottle,Personal Care,7,0.48,2,51.55,2.56,4.12
Bioplastic (PLA),Garbage Bag,Household,6,15.01,10,70.26,2.09,0.33
PP Plastic,Floor Cleaner Bottle,Household,4,2.23,1,70.53,3.38,4.14
PET Plastic,Pill Blister Pack,Pharmaceuticals,8,47.17,2,79.78,2.58,4.77
Kraft Paper,Pet Food Bag,Pet Care,3,5.21,7,85.16,2.61,1.61
Cardboard,Paper Carry Bag,Retail,7,8.1,10,72.27,2.97,1.68
Recycled Plastic,Cooking Oil Bottle,Food & Beverage,6,3.9,2,78.97,1.73,3.47
Bagasse Fiber,Instant Noodle Cup,Food & Beverage,4,0.17,9,70.11,2.24,1.44
PET Plastic,Floor Cleaner Bottle,Household,10,1.77,1,70.48,3.3,5.04
Glass,Perfume Bottle,Cosmetics,9,1.99,1,90.52,4.1,5.39
Corrugated Cardboard,Shipping Box,Logistics,10,16.58,8,85.45,2.91,1.8
Bioplastic (PLA),Face Wash Tube,Personal Care,3,0.23,10,79.91,2.86,0.84
Mushroom Packaging,Pizza Box,Food & Beverage,6,17.37,9,82.3,2.87,1.39
PP Plastic,Toothpaste Tube,Personal Care,5,0.18,2,58.35,2.97,3.51
Kraft Paper,Bread Bag,Food & Beverage,5,0.63,9,83.77,1.89,1
Bioplastic (PLA),Lipstick Tube,Cosmetics,9,2.52,8,78.22,2.69,1.37
Cardboard,Earphone Box,Electronics,3,0.24,10,81.25,2.96,0.7
Bioplastic (PLA),Syringe Packaging,Pharmaceuticals,8,5.25,8,81.67,3.13,1.33
Cardboard,Milk Carton,Food & Beverage,4,1.83,8,71.79,2.47,1.99
HDPE Plastic,Sauce Bottle,Food & Beverage,5,1.44,3,59.94,2.83,5.31
Bagasse Fiber,Bread Bag,Food & Beverage,6,1,10,73.76,2.65,1.22
PET Plastic,Cooking Oil Bottle,Food & Beverage,10,4.03,3,79.54,2.08,4.86
Molded Pulp,Medical Device Box,Healthcare,8,14.76,8,68,3.18,0.55
Corrugated Cardboard,Charger Adapter Box,Electronics,5,0.49,8,89.33,2.46,1.02
Recycled Plastic,Fertilizer Bag,Agriculture,4,4.46,3,84.15,1.78,3.46
Bioplastic (PLA),Deodorant Stick,Personal Care,3,0.15,8,61.31,2.19,1.09
PET Plastic,Pharma Vial,Pharmaceuticals,5,1,2,75.72,2.56,3.48
Recycled Plastic,Cream Jar,Cosmetics,7,2.01,1,70.73,2.97,2.41
Recycled Plastic,Component Tray,Electronics,7,9.95,1,78.99,2.79,3.08
Corrugated Cardboard,Laundry Detergent Box,Household,8,4.21,7,71.76,1.2,1.78
Bioplastic (PLA),Juice Carton,Food & Beverage,7,3.1,10,81.19,2.36,0.82
Recycled Plastic,Honey Jar,Food & Beverage,4,0.74,1,80.25,2.31,2.41
Recycled Plastic,Garbage Bag,Household,4,10.47,1,78.94,1,3.14
HDPE Plastic,Conditioner Bottle,Personal Care,10,0.49,1,56.98,1.66,4.83
Glass,Butter Tub,Food & Beverage,4,0.79,1,74.97,4.04,3.86
Molded Pulp,Earphone Box,Electronics,3,0.22,9,79.38,1.83,0.71
Recycled Plastic,Medicine Bottle,Pharmaceuticals,7,3.54,3,88.4,1.8,2.42
Bioplastic (PLA),Sugar Pouch,Food & Beverage,8,4.65,8,74.5,3.78,0.33
Cardboard,Ice Cream Tub,Food & Beverage,8,0.91,8,75.21,1.98,0.59
Corrugated Cardboard,Laptop Packaging Box,Electronics,6,10.53,9,86.73,1.82,0.89
Corrugated Cardboard,Laptop Packaging Box,Electronics,10,17.09,8,89.94,1.2,1.52
Recycled Plastic,Pet Food Bag,Pet Care,9,7.05,3,75.26,1.98,1.93
Kraft Paper,Sterile Wrap,Healthcare,6,6.68,7,88.92,2.17,1.09
Recycled Plastic,Pill Blister Pack,Pharmaceuticals,5,19.41,1,79.92,1.1,3.07
Aluminum,Cooking Oil Bottle,Food & Beverage,8,3.88,2,90.97,1.9,1.87
PET Plastic,Razor Packaging,Personal Care,3,0.08,2,67.24,2.16,4.96
Cardboard,Razor Packaging,Personal Care,9,0.12,10,88.76,1.01,1.83
Recycled Plastic,Egg Carton,Food & Beverage,6,1.12,3,74.58,1.53,1.67
Aluminum,Cream Jar,Cosmetics,9,2.21,2,89.15,3.21,2.22
Bagasse Fiber,Seedling Tray,Agriculture,4,18.5,10,67.93,2.27,1.12
Bioplastic (PLA),Deodorant Stick,Personal Care,4,0.19,9,68.43,2.03,0.48
Bioplastic (PLA),Syringe Packaging,Pharmaceuticals,6,12.98,9,61.08,2.75,0.72
PET Plastic,Pharma Vial,Pharmaceuticals,4,1.27,3,59.56,2.27,3.82
Cardboard,Ice Cream Tub,Food & Beverage,4,0.31,7,75.83,2.56,1.66
Glass,Sauce Bottle,Food & Beverage,6,1.42,2,70.95,6.08,3.33
HDPE Plastic,Conditioner Bottle,Personal Care,10,0.66,1,67.32,2.19,2.98
Kraft Paper,Razor Packaging,Personal Care,9,0.08,10,80.82,2.85,1.9
Recycled Plastic,Perfume Bottle,Cosmetics,3,4.59,2,89.03,2.45,3.1
Glass,Perfume Bottle,Cosmetics,6,1.57,1,78.77,3.97,3.19
Recycled Plastic,Chocolate Wrapper,Food & Beverage,5,0.14,2,86.2,1.55,2.91
Cardboard,Cereal Box,Food & Beverage,6,0.31,9,82.31,2.58,1.92
Bioplastic (PLA),Ice Cream Tub,Food & Beverage,5,0.36,8,65.47,2.72,1.25
HDPE Plastic,Medicine Bottle,Pharmaceuticals,8,1.26,1,79.21,2.38,5.36
Glass,Butter Tub,Food & Beverage,9,0.58,1,70.91,6.11,5.14
HDPE Plastic,Spray Bottle,Cosmetics,6,0.59,2,74.95,3.46,3.98
Kraft Paper,Produce Bag,Agriculture,3,9.5,7,88.03,1.56,0.62
Cardboard,Egg Carton,Food & Beverage,10,1.77,10,86.6,1.14,1.69
Recycled Plastic,Dishwash Liquid Bottle,Household,3,0.69,2,74.64,1.28,2.47
Bagasse Fiber,Milk Carton,Food & Beverage,8,1.64,10,68.49,2.13,1.04
Corrugated Cardboard,Heavy Crate,Logistics,8,37.18,10,70.92,2.32,1.66
Recycled Plastic,Earphone Box,Electronics,5,0.21,1,75.57,1.81,2.31
Recycled Plastic,Soap Bar Wrapper,Personal Care,9,0.08,1,80.17,1.11,2.57
PP Plastic,Pallet Wrap,Logistics,5,9.53,1,53.96,3.15,3.58
Kraft Paper,Sugar Pouch,Food & Beverage,3,4.77,10,81.16,2.68,1.64
PP Plastic,Chocolate Wrapper,Food & Beverage,4,0.09,3,55.15,3.29,2.87
PP Plastic,Blister Pack,Retail,10,41.9,2,72.95,2.31,2.9
Recycled Plastic,Bread Bag,Food & Beverage,6,0.32,3,79.99,2.32,2.43
Recycled Plastic,Book Packaging Wrap,Retail,5,1.94,3,79.1,2.39,1.53
PET Plastic,Earphone Box,Electronics,6,0.07,3,53.52,1.77,3.55
Recycled Plastic,Pet Food Bag,Pet Care,6,9.13,2,76.66,2.6,2.36
Corrugated Cardboard,Book Packaging Wrap,Retail,9,0.88,9,74.83,1.08,1.78
Glass,Yogurt Cup,Food & Beverage,4,0.2,1,89.95,5.21,3.51
Kraft Paper,Razor Packaging,Personal Care,10,0.07,7,87.99,2.94,1.45
Bagasse Fiber,Sugar Pouch,Food & Beverage,5,1.12,9,65,3.35,0.46
Glass,Body Lotion Bottle,Personal Care,9,0.59,2,73.22,4.87,4.79
Kraft Paper,Shopping Bag,Retail,7,2.92,10,70.85,1.35,1.72
PP Plastic,Butter Tub,Food & Beverage,3,0.59,1,66.91,2.48,4.74
Corrugated Cardboard,Shipping Box,Logistics,5,18.67,7,84.42,1.16,1.51
Bioplastic (PLA),Toothpaste Tube,Personal Care,4,0.28,9,71.39,3.36,0.95
Corrugated Cardboard,Charger Adapter Box,Electronics,6,0.35,7,70.06,2.58,0.86
Bagasse Fiber,Seedling Tray,Agriculture,5,19.53,10,68.93,2.64,0.89
Mushroom Packaging,Food Container,Food & Beverage,3,30.68,10,71.34,2.91,1.12
Bioplastic (PLA),Deodorant Stick,Personal Care,3,0.09,8,61.54,3.92,0.47
Jute,Fertilizer Bag,Agriculture,5,3.38,10,58.54,4.95,0.99
Recycled Plastic,Syringe Packaging,Pharmaceuticals,8,8.58,1,87.78,1.09,2.33
Glass,Spray Bottle,Cosmetics,10,1.2,2,79.92,4.05,4.13
Recycled Plastic,Beverage Can,Food & Beverage,8,2.95,3,89.08,1.45,3.34
PET Plastic,Conditioner Bottle,Personal Care,3,0.64,2,77,1.54,4.49
Recycled Plastic,Bubble Wrap,Logistics,9,0.71,1,71.67,2.86,2.39
Wood,Shipping Box,Logistics,7,23.6,7,62.6,5.9,2.29
Bioplastic (PLA),Instant Noodle Cup,Food & Beverage,9,0.26,9,79.6,2.04,1.01
PET Plastic,Shampoo Bottle,Personal Care,7,0.35,1,70.15,2.74,3.57
Cardboard,Egg Carton,Food & Beverage,8,0.9,7,77.1,2.42,0.77
Recycled Plastic,Face Wash Tube,Personal Care,3,0.26,1,70.5,2.21,1.79
PP Plastic,Lipstick Tube,Cosmetics,9,4.59,2,59.38,2.47,3.52
Steel,Chemical Storage Bottle,Chemicals,7,3.55,1,75.41,9.39,4.55
Recycled Plastic,Wet Wipes Pack,Household,9,0.42,3,74.82,2.26,1.62
Recycled Plastic,Industrial Drum,Chemicals,7,90.69,1,86.84,2.95,2.15
Cardboard,Food Container,Food & Beverage,8,43.5,8,80.14,1.38,0.62
PET Plastic,Sauce Bottle,Food & Beverage,10,1.07,1,71.63,2.26,3.77
Recycled Plastic,Sugar Pouch,Food & Beverage,6,3.36,3,72.11,1.56,2.01
Kraft Paper,Coffee Pouch,Food & Beverage,7,0.74,8,86.37,2.26,1.57
Molded Pulp,Charger Adapter Box,Electronics,5,0.19,8,68.84,2.42,1
PET Plastic,Medicine Bottle,Pharmaceuticals,3,2.2,2,71.2,3.14,4.43
Bioplastic (PLA),Tea Pouch,Food & Beverage,6,0.18,9,75.54,2.63,0.5
Recycled Plastic,Toothpaste Tube,Personal Care,9,0.26,1,83.23,2.2,1.83
Glass,Cream Jar,Cosmetics,6,0.7,1,78.39,4.35,3.37
PET Plastic,Sauce Bottle,Food & Beverage,9,1.35,2,78.09,1.97,3.31
PP Plastic,Toilet Cleaner Bottle,Household,10,0.92,1,61.63,3.15,2.58
Aluminum,Industrial Drum,Chemicals,7,66.44,2,89.72,1.71,1.74
Kraft Paper,Bread Bag,Food & Beverage,3,1.09,8,74.22,1.2,0.85
Recycled Plastic,Spray Bottle,Cosmetics,9,0.32,1,89.72,1.36,3.03
Recycled Plastic,Beverage Can,Food & Beverage,6,3.11,3,71.87,2.54,2.99
Glass,Honey Jar,Food & Beverage,9,1.3,2,77.29,6.24,4.56
Recycled Plastic,Earphone Box,Electronics,8,0.08,1,88.34,2.97,3.31
Bioplastic (PLA),Pet Food Bag,Pet Care,7,4.01,8,84.6,2.37,0.48
PP Plastic,Chemical Storage Bottle,Chemicals,7,4.59,1,61.85,2.26,4.49
Bagasse Fiber,Tea Pouch,Food & Beverage,3,0.26,8,66.37,2.4,0.58
Bioplastic (PLA),Dishwash Liquid Bottle,Household,7,1.25,10,83.83,3.74,0.38
Kraft Paper,Cosmetic Packaging Box,Cosmetics,9,2.66,9,72.1,2.72,0.96
Bioplastic (PLA),Blister Pack,Retail,7,28.19,9,67.63,2.63,1.31
Recycled Plastic,Razor Packaging,Personal Care,9,0.15,1,88.34,2.48,2.17
Aluminum,Face Wash Tube,Personal Care,9,0.15,1,91.23,1.89,2.07
Bioplastic (PLA),Toilet Cleaner Bottle,Household,9,0.43,9,83.75,2.66,1.32
Jute,Shopping Bag,Retail,3,9.64,8,73.69,2.68,0.78
Kraft Paper,Milk Carton,Food & Beverage,7,1.07,7,71.4,1.84,1.37
PET Plastic,Hair Oil Bottle,Personal Care,10,0.43,1,67.09,1.94,4.77
Tempered Glass,Pharma Vial,Pharmaceuticals,5,1.33,2,79.63,6.9,3.36
Recycled Plastic,Syringe Packaging,Pharmaceuticals,8,12.82,2,71.08,1.88,1.62
PP Plastic,Yogurt Cup,Food & Beverage,10,0.48,2,52.85,2.53,3.8
Cardboard,Razor Packaging,Personal Care,7,0.1,7,75.64,1.76,0.64
Bioplastic (PLA),Sterile Wrap,Healthcare,4,8.07,10,74.63,3.42,1.23
PET Plastic,Perfume Bottle,Cosmetics,9,2.22,3,56.99,3.36,5.1
HDPE Plastic,Sterile Wrap,Healthcare,8,8.59,2,64.05,3.41,4.47
Recycled Plastic,Bread Bag,Food & Beverage,7,0.47,1,74.69,2.71,2.94
Molded Pulp,Laptop Packaging Box,Electronics,7,24,9,77.46,2.2,1.08
PP Plastic,Seedling Tray,Agriculture,8,23.74,3,54.38,2.75,4.89
PP Plastic,Deodorant Stick,Personal Care,4,0.11,3,69.42,3.24,3.04
PP Plastic,Bread Bag,Food & Beverage,4,0.6,1,73.74,1.87,4.27
Glass,Water Bottle,Food & Beverage,8,2.24,2,70.3,6.88,3.13
HDPE Plastic,Shampoo Bottle,Personal Care,3,0.59,1,53.4,3.34,5.13
Cardboard,Medical Device Box,Healthcare,3,29.22,9,78.59,2.74,0.9
Foam,Component Tray,Electronics,7,0.56,10,66.48,3.49,0.73
Molded Pulp,Earphone Box,Electronics,7,0.07,8,73.78,2,0.49
Aluminum,Toothpaste Tube,Personal Care,9,0.12,2,90.19,2.72,1.75
Cardboard,Soap Bar Wrapper,Personal Care,7,0.18,9,78.13,2.62,1.07
Wood,Smartwatch Box,Electronics,4,0.49,7,57.35,6.13,1.02
Tempered Glass,Perfume Bottle,Cosmetics,9,2.1,2,85.23,3.19,5.62
Bioplastic (PLA),Toilet Cleaner Bottle,Household,7,0.92,10,72.84,3.42,1.04
Corrugated Cardboard,Shipping Box,Logistics,9,19.47,7,86,1.79,0.74
PP Plastic,Blister Pack,Retail,10,39.75,1,59.27,1.59,2.79
Kraft Paper,Coffee Pouch,Food & Beverage,9,1.49,9,73.56,1.49,0.53
Molded Pulp,Charger Adapter Box,Electronics,8,0.21,8,80.38,2.89,0.51
Wood,Smartwatch Box,Electronics,3,0.47,7,63.93,5.48,2.8
PET Plastic,Floor Cleaner Bottle,Household,10,0.87,2,56.22,3.26,4.87
Bioplastic (PLA),Pallet Wrap,Logistics,4,9.53,9,60.14,2.72,0.92
Molded Pulp,Component Tray,Electronics,8,13.25,8,71.84,2.42,0.72
Kraft Paper,Bread Bag,Food & Beverage,6,0.75,7,78.17,2.65,1.32
Recycled Plastic,Sauce Bottle,Food & Beverage,9,1.45,1,76.55,1.63,1.57
Bioplastic (PLA),Snack Packaging,Food & Beverage,6,16.57,9,82.87,2.99,0.84
Recycled Plastic,Juice Carton,Food & Beverage,4,23.7,3,83.63,2.43,2.71
Kraft Paper,Phone Box,Electronics,6,0.79,8,88.4,1.86,0.81
Steel,Chemical Storage Bottle,Chemicals,10,4.44,1,69.76,5.6,5.09
Bioplastic (PLA),Soap Bar Wrapper,Personal Care,10,0.13,9,71.01,3.1,1.26
Molded Pulp,Egg Carton,Food & Beverage,6,1.11,8,66.4,2.58,1.48
HDPE Plastic,Pallet Wrap,Logistics,9,5.73,1,75.84,3.28,4.06
Bagasse Fiber,Egg Carton,Food & Beverage,6,0.67,9,82.91,2.66,1.12
PET Plastic,Beverage Can,Food & Beverage,4,0.24,2,78.37,3.36,3.64
Recycled Plastic,Soap Bar Wrapper,Personal Care,5,0.12,2,78.13,1.97,2.58
Molded Pulp,Charger Adapter Box,Electronics,4,0.48,9,69.51,2.42,0.49
Molded Pulp,Phone Box,Electronics,6,27.21,10,84.47,2.23,1.09
PP Plastic,Fertilizer Bag,Agriculture,10,7.95,3,50.74,3.47,3.09
PP Plastic,Yogurt Cup,Food & Beverage,8,0.39,3,54.56,2.87,3.38
PP Plastic,Sterile Wrap,Healthcare,3,4.41,1,67.4,2.02,2.5
PP Plastic,Pallet Wrap,Logistics,6,3.49,3,62.02,1.62,4.88
Recycled Plastic,Snack Packaging,Food & Beverage,3,29.51,3,70.72,2.32,2.07
HDPE Plastic,Lipstick Tube,Cosmetics,4,2.23,2,58.21,3.35,3.97
Recycled Plastic,Cereal Box,Food & Beverage,4,1.05,3,71.73,1.58,1.59
PET Plastic,Sauce Bottle,Food & Beverage,9,0.78,3,59.45,2.64,4.34
Recycled Plastic,Lipstick Tube,Cosmetics,10,1.31,3,78.18,2.4,2.78
Cardboard,Egg Carton,Food & Beverage,8,0.81,8,79.42,1.61,1.81
Cardboard,Instant Noodle Cup,Food & Beverage,5,0.24,8,80.14,1.76,0.74
Bioplastic (PLA),Ice Cream Tub,Food & Beverage,5,0.64,9,70.69,3.63,0.92
Tempered Glass,Perfume Bottle,Cosmetics,9,2.5,2,79.09,6.98,4.71
Kraft Paper,Laundry Detergent Box,Household,3,2.01,9,78.9,2.13,0.98
Aluminum,Deodorant Stick,Personal Care,10,0.07,2,90.17,3.35,2.05
PET Plastic,Cooking Oil Bottle,Food & Beverage,5,3.31,3,74.91,3.02,3.51
PET Plastic,Medicine Bottle,Pharmaceuticals,6,3.52,3,59.92,3.36,4.04
Bioplastic (PLA),Lipstick Tube,Cosmetics,10,4.61,10,72.79,2.53,1.42
Recycled Plastic,Sterile Wrap,Healthcare,4,2.12,1,81.42,1.83,2.15
Bioplastic (PLA),Pallet Wrap,Logistics,5,4.27,9,66,3.72,1.05
HDPE Plastic,Dishwash Liquid Bottle,Household,7,0.97,3,80,2.19,4.94
Recycled Plastic,Hair Oil Bottle,Personal Care,7,0.43,2,80.22,1.31,2.73
Cardboard,Paper Carry Bag,Retail,5,7.1,10,82.38,1.95,0.65
Aluminum,Perfume Bottle,Cosmetics,7,4.52,2,92.72,1.63,2.12
Kraft Paper,Pet Food Bag,Pet Care,6,2.34,8,87.41,2.82,0.65
Recycled Plastic,Pill Blister Pack,Pharmaceuticals,10,35.32,2,75.45,1.88,1.88
PP Plastic,Toothpaste Tube,Personal Care,10,0.29,2,70.82,3.31,2.53
Recycled Plastic,Laundry Detergent Box,Household,9,2.09,3,75.13,2.06,2.98
PET Plastic,Face Wash Tube,Personal Care,4,0.1,3,61.15,1.99,4.69
Glass,Cream Jar,Cosmetics,5,1.5,1,92.61,3.51,5.84
Kraft Paper,Cereal Box,Food & Beverage,9,0.67,7,83.6,2.41,1.95
HDPE Plastic,Medicine Bottle,Pharmaceuticals,8,2.78,3,64.72,1.73,4.7
Aluminum,Conditioner Bottle,Personal Care,7,0.27,3,94.51,2.66,1.86
Cardboard,Soap Bar Wrapper,Personal Care,8,0.09,7,72.2,1.77,1.76
Foam,Laptop Packaging Box,Electronics,6,16.57,10,68.77,2.43,0.44
PP Plastic,Bread Bag,Food & Beverage,10,0.55,3,70.77,2.35,3.56
HDPE Plastic,Shampoo Bottle,Personal Care,8,0.28,2,56.37,1.86,3.05
Corrugated Cardboard,Pizza Box,Food & Beverage,8,5.2,7,70.72,1.61,0.89
PP Plastic,Toilet Cleaner Bottle,Household,8,1.02,1,74.85,2.67,3.5
Recycled Plastic,Laundry Detergent Box,Household,9,3.22,2,83.04,1.14,3.45
Corrugated Cardboard,Laundry Detergent Box,Household,5,4.94,8,80.18,1.45,1.28
Kraft Paper,Cereal Box,Food & Beverage,8,1.02,8,83.36,2.93,1.09
Kraft Paper,Pizza Box,Food & Beverage,7,1.91,10,71.7,2.43,0.61
Glass,Cream Jar,Cosmetics,9,1.54,2,88.97,4.06,3.45
Kraft Paper,Book Packaging Wrap,Retail,7,1.18,9,80.24,2.3,1.04
Corrugated Cardboard,Cosmetic Packaging Box,Cosmetics,10,25.5,7,78.88,2.51,1.63
Glass,Chemical Storage Bottle,Chemicals,5,3.48,1,91.38,5.98,4.93
Recycled Plastic,Pill Blister Pack,Pharmaceuticals,5,30.16,1,88.32,2.15,1.77
Kraft Paper,Coffee Pouch,Food & Beverage,10,0.92,10,86.48,1.96,1.22
Corrugated Cardboard,Laundry Detergent Box,Household,3,1.57,9,88.41,1.29,1.6
Bioplastic (PLA),Ice Cream Tub,Food & Beverage,9,0.89,10,77.52,3.29,0.6
Cardboard,Laundry Detergent Box,Household,3,4.37,7,89.63,1.6,0.92
Bioplastic (PLA),Cream Jar,Cosmetics,7,2.73,8,66.38,2.18,0.39
Recycled Plastic,Power Bank Box,Electronics,10,0.6,1,86.43,2.52,2.48
Recycled Plastic,Paper Carry Bag,Retail,10,5.75,1,71.82,2.38,3.22
Kraft Paper,Milk Carton,Food & Beverage,8,1.91,8,83.41,2.79,0.59
Recycled Plastic,Beverage Can,Food & Beverage,8,2.4,2,74.98,1.65,2.17
Recycled Plastic,Razor Packaging,Personal Care,8,0.14,3,74.58,1.4,3.31
Bioplastic (PLA),Sterile Wrap,Healthcare,9,9.79,9,78.7,3.27,1.38
Kraft Paper,Chocolate Wrapper,Food & Beverage,5,0.18,7,75.76,2.09,0.86
Recycled Plastic,Face Wash Tube,Personal Care,9,0.23,1,87.15,1.21,2.4
Recycled Plastic,Snack Packaging,Food & Beverage,8,15.61,1,84.96,1.42,1.91
Kraft Paper,Juice Carton,Food & Beverage,10,9.58,7,72.74,2.08,0.78
Kraft Paper,Power Bank Box,Electronics,8,0.35,10,73.21,1.54,0.8
Glass,Chemical Storage Bottle,Chemicals,9,1.71,2,87.44,5.27,4.36
Cardboard,Cereal Box,Food & Beverage,7,0.71,10,77.3,2.12,1.16
Recycled Plastic,Dishwash Liquid Bottle,Household,3,0.77,2,86.6,2.14,1.61
PET Plastic,Spray Bottle,Cosmetics,6,4.96,2,59.23,1.72,5.02
Cardboard,Food Container,Food & Beverage,3,49.09,8,77.51,2.61,1.15
Bagasse Fiber,Snack Packaging,Food & Beverage,3,14.62,9,83.9,2.07,0.91
Kraft Paper,Gift Box,Retail,10,10.52,10,74.69,1.96,0.98
Bamboo,Cosmetic Packaging Box,Cosmetics,7,8.55,9,55.31,4.25,0.59
Kraft Paper,Medical Device Box,Healthcare,5,23.55,10,80.19,2.31,0.93
Recycled Plastic,Power Bank Box,Electronics,9,0.43,3,76.44,2.57,1.74
Bioplastic (PLA),Instant Noodle Cup,Food & Beverage,5,0.49,9,68.9,2.89,1.45
HDPE Plastic,Shampoo Bottle,Personal Care,7,0.37,3,70.5,2.71,5
Molded Pulp,Seedling Tray,Agriculture,3,5.7,9,74.15,1.88,1.22
Bioplastic (PLA),Tissue Box,Household,10,0.45,10,75.22,3.65,0.32
HDPE Plastic,Floor Cleaner Bottle,Household,10,1.87,1,50.39,3.35,3.44
Tempered Glass,Perfume Bottle,Cosmetics,3,0.82,1,84.49,3.99,3.93
PP Plastic,Blister Pack,Retail,10,22.4,3,55.68,1.92,3.47
Recycled Plastic,Bread Bag,Food & Beverage,10,0.74,2,74.78,2.78,2.17
HDPE Plastic,Sauce Bottle,Food & Beverage,4,1.24,1,69.97,1.61,4.48
Tempered Glass,Perfume Bottle,Cosmetics,6,3.93,1,72.49,6.98,4.2
PP Plastic,Syringe Packaging,Pharmaceuticals,3,8.1,1,71.98,2.95,3.68
Aluminum,Sauce Bottle,Food & Beverage,8,1.13,1,87.37,1.83,2.41
PP Plastic,Industrial Drum,Chemicals,7,56.37,3,74.71,1.71,4.52
Bagasse Fiber,Egg Carton,Food & Beverage,3,0.86,9,73.58,1.73,1.45
Recycled Plastic,Pet Food Bag,Pet Care,4,8.31,1,75.44,2.28,2.2
HDPE Plastic,Syringe Packaging,Pharmaceuticals,5,13.8,2,78.42,2.33,3.53
Recycled Plastic,Book Packaging Wrap,Retail,9,2.1,2,82.7,2.74,2.05
Molded Pulp,Smartwatch Box,Electronics,4,0.11,9,84.28,2.63,0.42
Bioplastic (PLA),Tea Pouch,Food & Beverage,8,0.58,9,71.38,2.53,0.79
Bioplastic (PLA),Tissue Box,Household,10,0.29,9,76.28,2.32,1.13
Glass,Honey Jar,Food & Beverage,4,0.97,1,71.7,3.84,3.02
Aluminum,Conditioner Bottle,Personal Care,8,0.54,1,87.39,2.57,2.15
Bioplastic (PLA),Body Lotion Bottle,Personal Care,7,0.38,9,79.85,3.32,0.43
Bioplastic (PLA),Bread Bag,Food & Beverage,9,0.58,9,83.38,2.33,0.32
HDPE Plastic,Cooking Oil Bottle,Food & Beverage,10,0.86,3,79.05,1.92,3.07
Foam,Bubble Wrap,Logistics,7,8.03,10,84.54,3.67,0.8
HDPE Plastic,Toilet Cleaner Bottle,Household,7,0.4,2,56.84,1.76,3.91
PP Plastic,Seedling Tray,Agriculture,6,28.17,3,59.51,2.86,3.09
Corrugated Cardboard,Book Packaging Wrap,Retail,10,1.44,9,79.35,2.49,0.86
Corrugated Cardboard,Laptop Packaging Box,Electronics,6,9.67,10,84.38,2.77,0.51
Bagasse Fiber,Egg Carton,Food & Beverage,8,0.81,10,67.06,2.4,1.44
Corrugated Cardboard,Medical Device Box,Healthcare,8,21.87,7,72.59,2.46,1
Recycled Plastic,Heavy Crate,Logistics,6,94.85,1,89.35,1.18,2.46
Bioplastic (PLA),Shampoo Bottle,Personal Care,7,0.49,10,69.96,2.18,0.7
PET Plastic,Honey Jar,Food & Beverage,3,1.27,3,78.13,2.35,5.3
PP Plastic,Wet Wipes Pack,Household,8,0.44,2,74.95,1.79,3.79
Corrugated Cardboard,Book Packaging Wrap,Retail,3,2.32,9,89.57,1.3,1.87
Aluminum,Cooking Oil Bottle,Food & Beverage,10,1.18,3,89.5,1.85,1.83
Glass,Beverage Can,Food & Beverage,10,1.62,1,89.64,5.69,3.35
Recycled Plastic,Floor Cleaner Bottle,Household,5,1.43,3,78.14,1.37,3.46
Recycled Plastic,Conditioner Bottle,Personal Care,7,0.61,2,73.32,2.76,2.35
HDPE Plastic,Conditioner Bottle,Personal Care,8,0.41,3,64.61,2.71,4.79
Recycled Plastic,Spray Bottle,Cosmetics,7,0.96,2,80.34,1.53,1.92
PET Plastic,Earphone Box,Electronics,8,0.19,1,63.37,2.52,4.74
Cardboard,Paper Carry Bag,Retail,7,2.7,7,79.83,1.06,1.54
HDPE Plastic,Toilet Cleaner Bottle,Household,7,0.71,1,53.54,1.94,4.46
Recycled Plastic,Laundry Detergent Box,Household,5,2.77,1,75.38,2.44,2.46
Recycled Plastic,Body Lotion Bottle,Personal Care,7,0.62,2,74.16,1.04,2.46
Glass,Chemical Storage Bottle,Chemicals,4,1.77,1,94.41,3.98,5.77
HDPE Plastic,Floor Cleaner Bottle,Household,6,1.88,1,66.17,1.95,3.39
Jute,Fertilizer Bag,Agriculture,8,7.92,10,71.27,3.87,1.15
Jute,Fertilizer Bag,Agriculture,8,6.27,9,71.03,2.86,0.8
Bioplastic (PLA),Sterile Wrap,Healthcare,4,6.86,8,82.25,3.18,0.69
Bagasse Fiber,Snack Packaging,Food & Beverage,7,25.96,8,80.68,2.29,1.11
Foam,Laptop Packaging Box,Electronics,8,21.35,9,60.57,2.59,0.97
Recycled Plastic,Lipstick Tube,Cosmetics,5,2.33,3,78.05,1.38,2.58
PP Plastic,Pallet Wrap,Logistics,3,0.26,2,74.61,2.66,4.62
PET Plastic,Beverage Can,Food & Beverage,5,1.67,3,52.49,1.88,3.82
Aluminum,Heavy Crate,Logistics,8,11.53,3,91.88,2.14,1.72
Recycled Plastic,Blister Pack,Retail,7,19.17,3,81.68,1.99,3.1
