material_type,product_type,industry,strength,weight_capacity,biodegradability_score,recyclability,cost,co2_emission
Mushroom Packaging,Cream Jar,Cosmetics,6,16.62,9,67.18,1.48,0.425
Recycled PET,Medical Container,Healthcare,8,15.21,2,88.95,1.78,2.051
Corrugated Cardboard,Tile Packaging,Construction,7,28.25,7,91.38,1.12,0.807
Aluminum,Fabric Wrap,Textiles,10,29.91,2,97.12,4.44,3.572
Glass,Takeaway Container,Food Packaging,9,21.39,1,97.13,4.85,1.669
Bagasse Fiber,Pizza Box,Food Packaging,7,7.04,9,78.0,1.1,0.495
Corrugated Cardboard,Garment Bag,Textiles,9,23.96,7,85.41,0.62,0.831
Kraft Paper,Takeaway Container,Food Packaging,4,8.18,8,89.34,1.43,0.65
PLA Bioplastic,Syringe Pack,Healthcare,6,18.94,8,57.11,1.52,1.238
Glass,Protective Cushioning Pack,Furniture,9,28.71,1,95.01,5.41,1.746
PLA Bioplastic,Garment Bag,Textiles,6,12.76,6,52.56,2.73,1.244
Kraft Paper,Action Figure Pack,Toys,7,14.55,9,93.22,1.23,0.622
Mushroom Packaging,Oil Container,Automotive,5,16.56,9,65.15,1.59,0.383
Bagasse Fiber,Foam Insert Package,Home Appliances,6,13.1,10,73.7,2.2,0.486
Corrugated Cardboard,Action Figure Pack,Toys,8,34.69,9,82.74,1.65,0.832
Recycled PET,Battery Packaging,Automotive,8,27.84,2,90.82,2.99,2.174
Bagasse Fiber,Cosmetic Tube,Cosmetics,5,7.36,9,80.74,1.37,0.526
Corrugated Cardboard,Board Game Box,Toys,6,25.97,7,86.96,0.89,0.767
Kraft Paper,Hardware Container,Construction,4,10.02,8,90.54,0.45,0.639
PLA Bioplastic,Action Figure Pack,Toys,8,11.22,6,51.41,2.02,1.174
Aluminum,Foam Insert Package,Home Appliances,8,30.48,2,99.51,4.26,3.542
Bagasse Fiber,Perfume Bottle,Cosmetics,6,14.66,8,76.46,1.41,0.543
PLA Bioplastic,Spare Parts Box,Automotive,7,17.12,7,60.15,1.95,1.235
Glass,Toy Box,Toys,10,20.91,2,99.51,3.45,1.75
Corrugated Cardboard,Battery Packaging,Automotive,6,25.24,7,85.69,1.46,0.828
PLA Bioplastic,Battery Packaging,Automotive,6,13.28,7,54.44,2.8,1.152
Bagasse Fiber,Protective Cushioning Pack,Furniture,6,13.79,8,74.1,1.08,0.566
Aluminum,Fabric Wrap,Textiles,10,23.45,1,95.28,3.64,3.483
PLA Bioplastic,Syringe Pack,Healthcare,6,8.23,8,51.91,1.28,1.137
Recycled PET,Takeaway Container,Food Packaging,9,22.65,3,86.57,3.06,2.092
Glass,Protective Cushioning Pack,Furniture,10,31.81,1,99.42,4.92,1.851
Mushroom Packaging,Syringe Pack,Healthcare,7,10.23,9,61.63,3.34,0.461
Mushroom Packaging,Laptop Box,Electronics,5,15.86,10,68.68,1.84,0.355
Kraft Paper,Laptop Box,Electronics,4,5.92,9,85.51,1.44,0.537
Aluminum,Foam Insert Package,Home Appliances,10,24.91,1,96.46,2.69,3.522
Kraft Paper,Takeaway Container,Food Packaging,6,9.05,9,89.18,1.02,0.577
Mushroom Packaging,Tablet Blister Pack,Healthcare,5,12.82,10,63.23,1.33,0.4
Glass,Foam Insert Package,Home Appliances,9,35.05,2,99.97,5.58,1.829
PLA Bioplastic,Oil Container,Automotive,6,19.93,8,53.79,2.06,1.272
Kraft Paper,Fabric Wrap,Textiles,5,14.12,9,91.28,1.1,0.637
Recycled PET,Toy Box,Toys,8,25.8,4,88.14,3.58,2.109
Mushroom Packaging,Tile Packaging,Construction,5,10.38,9,61.95,1.55,0.508
Aluminum,Mobile Box,Electronics,10,25.61,1,98.15,2.62,3.451
Mushroom Packaging,Perfume Bottle,Cosmetics,6,12.94,9,74.68,3.22,0.413
Kraft Paper,Electronic Blister Pack,Electronics,4,11.91,8,89.98,0.68,0.552
Corrugated Cardboard,Mobile Box,Electronics,6,21.63,7,85.01,0.69,0.804
Corrugated Cardboard,Clothing Box,Textiles,8,27.99,9,90.63,1.2,0.769
Mushroom Packaging,Cement Liner Bag,Construction,5,14.51,9,75.06,2.58,0.402
Mushroom Packaging,Pizza Box,Food Packaging,5,11.78,10,73.68,1.27,0.405
Corrugated Cardboard,Foam Insert Package,Home Appliances,6,25.25,8,80.97,0.91,0.836
PLA Bioplastic,Board Game Box,Toys,7,9.15,6,62.75,1.07,1.214
Corrugated Cardboard,Pizza Box,Food Packaging,7,19.88,7,87.66,1.13,0.851
Mushroom Packaging,Furniture Carton,Furniture,5,12.62,9,72.88,3.26,0.393
PLA Bioplastic,Cement Liner Bag,Construction,7,18.49,8,63.24,2.97,1.125
Glass,Toy Box,Toys,9,28.52,2,95.1,4.55,1.908
Glass,Hardware Container,Construction,9,23.31,1,96.07,2.65,1.782
Mushroom Packaging,Clothing Box,Textiles,5,14.25,10,77.78,3.28,0.418
Corrugated Cardboard,Electronic Blister Pack,Electronics,7,11.02,8,83.88,1.27,0.793
PLA Bioplastic,Board Game Box,Toys,7,10.49,6,56.9,1.31,1.26
Recycled PET,Hardware Container,Construction,10,23.85,4,92.55,3.8,2.184
Bagasse Fiber,Tile Packaging,Construction,5,6.57,9,83.98,2.09,0.534
Corrugated Cardboard,Toy Box,Toys,9,32.3,7,87.76,1.6,0.828
PLA Bioplastic,TV Carton,Electronics,9,19.99,7,54.69,2.42,1.112
Aluminum,Oil Container,Automotive,8,34.7,2,99.9,3.1,3.508
Bagasse Fiber,Foam Insert Package,Home Appliances,5,7.62,10,79.63,1.16,0.528
Mushroom Packaging,Board Game Box,Toys,7,15.65,9,74.74,2.78,0.366
Mushroom Packaging,Cement Liner Bag,Construction,5,15.3,9,68.38,1.71,0.429
Aluminum,Appliance Carton,Home Appliances,9,33.64,2,95.47,3.82,3.466
PLA Bioplastic,Cosmetic Tube,Cosmetics,6,8.39,7,53.08,2.56,1.211
PLA Bioplastic,Action Figure Pack,Toys,7,11.96,7,68.09,2.57,1.333
Mushroom Packaging,Tablet Blister Pack,Healthcare,7,9.81,10,74.55,2.24,0.388
Recycled PET,Takeaway Container,Food Packaging,8,20.52,2,94.48,3.48,2.129
Bagasse Fiber,Action Figure Pack,Toys,7,6.17,10,78.58,2.23,0.513
Recycled PET,Foam Insert Package,Home Appliances,10,28.01,2,91.03,3.14,2.036
Corrugated Cardboard,Perfume Bottle,Cosmetics,9,33.31,8,89.23,0.84,0.87
Bagasse Fiber,Cosmetic Tube,Cosmetics,5,14.87,10,76.12,1.27,0.529
Aluminum,Hardware Container,Construction,10,25.12,1,99.26,3.44,3.493
Mushroom Packaging,Makeup Box,Cosmetics,6,15.68,9,61.3,1.47,0.364
Glass,Syringe Pack,Healthcare,10,31.32,2,99.53,3.09,1.856
Recycled PET,Board Game Box,Toys,9,15.17,4,89.4,2.02,2.054
Glass,Furniture Carton,Furniture,10,26.46,1,96.62,3.82,1.842
Aluminum,Tile Packaging,Construction,10,22.69,1,95.11,5.23,3.503
Glass,Action Figure Pack,Toys,10,39.56,1,99.26,2.42,1.749
Glass,Garment Bag,Textiles,10,26.51,1,98.96,4.88,1.866
Kraft Paper,TV Carton,Electronics,6,8.48,10,94.43,1.12,0.639
PLA Bioplastic,Cement Liner Bag,Construction,9,19.32,8,56.49,1.19,1.219
PLA Bioplastic,TV Carton,Electronics,7,14.06,8,62.24,2.85,1.196
Kraft Paper,Hardware Container,Construction,5,12.21,10,92.28,0.98,0.665
Aluminum,Tablet Blister Pack,Healthcare,9,27.77,2,98.77,3.59,3.568
Bagasse Fiber,Electronic Blister Pack,Electronics,7,10.35,10,78.78,2.09,0.567
Kraft Paper,Pizza Box,Food Packaging,4,12.09,8,86.66,0.61,0.615
Aluminum,Assembly Kit Box,Furniture,10,31.2,2,99.76,4.58,3.471
Glass,Board Game Box,Toys,10,29.8,2,95.48,2.16,1.831
Corrugated Cardboard,Protective Cushioning Pack,Furniture,6,27.91,7,85.05,1.76,0.789
Aluminum,Board Game Box,Toys,9,34.53,1,96.86,3.84,3.597
PLA Bioplastic,Perfume Bottle,Cosmetics,8,13.2,7,65.92,2.27,1.148
Recycled PET,Perfume Bottle,Cosmetics,9,16.55,3,90.7,2.05,2.151
Corrugated Cardboard,TV Carton,Electronics,8,20.37,7,90.99,1.52,0.772
Recycled PET,Hardware Container,Construction,9,29.88,2,87.96,3.43,2.102
Mushroom Packaging,Fabric Wrap,Textiles,7,10.6,10,61.73,2.29,0.416
PLA Bioplastic,Pizza Box,Food Packaging,6,17.67,8,57.7,2.24,1.18
Aluminum,Foam Insert Package,Home Appliances,9,23.04,1,97.62,3.87,3.481
Bagasse Fiber,Hardware Container,Construction,5,7.58,10,76.61,2.32,0.455
Bagasse Fiber,Beverage Bottle,Food Packaging,5,12.05,9,80.02,1.65,0.534
Kraft Paper,Tile Packaging,Construction,6,13.47,8,86.86,1.31,0.628
Corrugated Cardboard,Oil Container,Automotive,6,30.93,9,91.24,1.7,0.814
Aluminum,Medical Container,Healthcare,10,29.45,1,99.74,3.73,3.532
PLA Bioplastic,Action Figure Pack,Toys,7,11.9,7,66.89,1.46,1.178
Aluminum,Tile Packaging,Construction,8,20.3,1,97.21,3.72,3.499
Glass,Food Tray,Food Packaging,10,25.02,1,95.19,5.3,1.736
Recycled PET,Protective Cushioning Pack,Furniture,9,20.94,4,91.58,2.07,2.174
Mushroom Packaging,Foam Insert Package,Home Appliances,6,17.28,9,68.55,2.41,0.367
PLA Bioplastic,Foam Insert Package,Home Appliances,8,16.29,6,62.18,2.61,1.209
Mushroom Packaging,Syringe Pack,Healthcare,5,13.87,10,62.97,2.01,0.424
Glass,Hardware Container,Construction,9,34.26,1,95.35,4.57,1.775
Glass,Pizza Box,Food Packaging,9,31.15,2,97.59,2.98,1.882
Corrugated Cardboard,Protective Box,Home Appliances,7,17.77,8,83.54,0.66,0.786
Recycled PET,Hardware Container,Construction,10,24.62,3,85.51,3.49,2.165
Glass,Assembly Kit Box,Furniture,10,25.48,2,98.87,2.4,1.751
Kraft Paper,Protective Cushioning Pack,Furniture,5,10.82,8,86.35,0.63,0.645
Bagasse Fiber,Furniture Carton,Furniture,6,7.45,9,79.65,2.25,0.427
Glass,Action Figure Pack,Toys,10,38.55,2,98.5,3.39,1.796
Bagasse Fiber,Board Game Box,Toys,5,13.97,9,80.78,2.45,0.475
Corrugated Cardboard,Hardware Container,Construction,7,21.28,9,84.62,1.97,0.76
Recycled PET,Action Figure Pack,Toys,8,20.59,3,85.44,2.17,2.144
Bagasse Fiber,Protective Box,Home Appliances,6,7.2,10,79.94,0.87,0.521
Bagasse Fiber,Tile Packaging,Construction,7,9.76,9,75.18,2.0,0.534
Kraft Paper,Fabric Wrap,Textiles,4,6.19,10,90.88,0.84,0.561
Bagasse Fiber,Cream Jar,Cosmetics,5,11.02,9,82.45,0.97,0.343
Aluminum,Oil Container,Automotive,8,31.88,2,97.17,4.62,3.391
Bagasse Fiber,Toy Box,Toys,5,6.4,10,71.56,0.85,0.396
Bagasse Fiber,Tablet Blister Pack,Healthcare,5,12.73,9,77.48,2.28,0.427
PLA Bioplastic,Medical Container,Healthcare,7,19.89,8,68.84,1.28,1.201
Aluminum,Medical Container,Healthcare,10,27.79,1,97.69,2.88,3.529
Corrugated Cardboard,Mobile Box,Electronics,8,23.76,8,86.02,0.76,0.933
Corrugated Cardboard,Tile Packaging,Construction,6,23.04,7,81.49,1.94,0.802
PLA Bioplastic,Battery Packaging,Automotive,9,13.27,6,65.64,2.39,1.2
Corrugated Cardboard,Pizza Box,Food Packaging,7,19.21,7,81.86,1.7,0.758
PLA Bioplastic,Makeup Box,Cosmetics,9,19.29,8,54.2,1.8,1.269
Bagasse Fiber,Battery Packaging,Automotive,6,6.35,8,71.07,1.37,0.51
Recycled PET,Toy Box,Toys,8,24.95,2,92.74,2.09,2.109
Glass,Board Game Box,Toys,10,32.31,1,99.22,3.92,1.837
Glass,TV Carton,Electronics,9,20.57,1,97.42,4.21,1.82
Mushroom Packaging,Protective Box,Home Appliances,6,10.44,9,75.24,2.65,0.433
Kraft Paper,Garment Bag,Textiles,4,13.97,10,86.55,0.61,0.589
Corrugated Cardboard,Garment Bag,Textiles,8,14.3,9,86.05,1.92,0.834
PLA Bioplastic,Board Game Box,Toys,6,12.51,7,60.6,1.34,1.215
Glass,Cosmetic Tube,Cosmetics,9,37.69,1,98.5,5.86,1.795
Recycled PET,Fabric Wrap,Textiles,10,20.3,2,89.7,1.54,2.15
Aluminum,Board Game Box,Toys,8,20.73,1,98.16,3.94,3.516
Bagasse Fiber,Cosmetic Tube,Cosmetics,7,7.0,8,71.32,1.37,0.529
Recycled PET,Garment Bag,Textiles,8,27.69,2,94.64,2.62,2.009
Corrugated Cardboard,Cement Liner Bag,Construction,6,16.21,8,90.69,1.36,0.722
Corrugated Cardboard,Perfume Bottle,Cosmetics,9,23.6,7,86.38,1.15,0.839
PLA Bioplastic,Laptop Box,Electronics,7,11.0,8,68.49,1.83,1.183
PLA Bioplastic,Furniture Carton,Furniture,7,8.96,7,57.31,2.47,1.194
PLA Bioplastic,Cream Jar,Cosmetics,6,15.87,6,61.72,2.37,1.179
Bagasse Fiber,Spare Parts Box,Automotive,6,11.75,9,75.14,2.22,0.571
Glass,Oil Container,Automotive,9,29.98,2,99.58,3.0,1.838
PLA Bioplastic,Electronic Blister Pack,Electronics,8,19.41,6,66.35,2.22,1.223
PLA Bioplastic,Clothing Box,Textiles,6,19.56,7,56.85,2.17,1.098
Kraft Paper,Cosmetic Tube,Cosmetics,7,13.5,8,90.21,0.74,0.629
Aluminum,Hardware Container,Construction,8,21.47,2,97.84,3.96,3.494
PLA Bioplastic,Fabric Wrap,Textiles,7,18.53,7,61.8,1.63,1.2
Corrugated Cardboard,Cosmetic Tube,Cosmetics,7,20.19,8,80.81,0.71,0.75
Bagasse Fiber,Hardware Container,Construction,7,12.54,8,72.77,1.16,0.595
Glass,Toy Box,Toys,10,21.6,2,95.74,2.42,1.684
PLA Bioplastic,Cement Liner Bag,Construction,7,15.91,6,57.83,2.37,1.267
Recycled PET,Protective Box,Home Appliances,10,18.26,3,93.86,3.15,2.183
Bagasse Fiber,Board Game Box,Toys,6,6.12,10,75.37,2.42,0.528
Mushroom Packaging,Hardware Container,Construction,5,15.55,10,73.99,2.88,0.429
Corrugated Cardboard,Makeup Box,Cosmetics,6,14.53,7,83.68,0.58,0.752
Bagasse Fiber,Makeup Box,Cosmetics,7,12.93,8,73.07,2.3,0.496
Bagasse Fiber,Beverage Bottle,Food Packaging,6,14.9,9,70.87,2.27,0.572
Kraft Paper,Protective Box,Home Appliances,4,11.77,10,91.36,0.83,0.554
Aluminum,Assembly Kit Box,Furniture,8,21.73,1,95.49,4.26,3.555
Mushroom Packaging,Garment Bag,Textiles,7,10.71,10,70.81,3.44,0.411
Mushroom Packaging,Spare Parts Box,Automotive,6,17.22,9,77.81,2.42,0.46
Aluminum,Tile Packaging,Construction,10,27.08,1,95.89,5.22,3.533
Recycled PET,Laptop Box,Electronics,9,21.7,3,93.83,1.71,2.059
Corrugated Cardboard,Medicine Box,Healthcare,6,15.92,7,81.49,0.79,0.758
Kraft Paper,Spare Parts Box,Automotive,4,6.63,10,87.76,0.83,0.626
Bagasse Fiber,Protective Box,Home Appliances,6,9.52,9,84.67,1.79,0.523
Kraft Paper,Makeup Box,Cosmetics,6,5.05,8,91.09,1.28,0.647
Kraft Paper,Perfume Bottle,Cosmetics,6,13.46,10,85.09,1.49,0.52
Recycled PET,Tile Packaging,Construction,9,25.17,3,85.78,2.47,2.074
Bagasse Fiber,Medical Container,Healthcare,7,8.07,10,83.46,0.88,0.454
Aluminum,Medicine Box,Healthcare,8,20.11,1,97.57,4.9,3.408
PLA Bioplastic,Food Tray,Food Packaging,9,8.96,6,65.59,2.21,1.249
Kraft Paper,Medicine Box,Healthcare,7,7.37,9,94.48,0.54,0.654
Corrugated Cardboard,Fabric Wrap,Textiles,6,19.19,9,84.73,1.24,0.698
PLA Bioplastic,Syringe Pack,Healthcare,6,18.14,7,68.5,2.48,1.208
Recycled PET,Foam Insert Package,Home Appliances,10,24.05,4,88.53,3.43,2.091
Glass,Fabric Wrap,Textiles,9,38.16,1,95.52,4.0,1.859
Aluminum,Electronic Blister Pack,Electronics,9,28.05,2,95.81,3.42,3.436
Kraft Paper,Action Figure Pack,Toys,4,5.97,9,93.72,1.47,0.636
Bagasse Fiber,Mobile Box,Electronics,7,12.58,9,76.94,1.93,0.566
Aluminum,Protective Box,Home Appliances,10,25.17,2,99.64,3.72,3.528
PLA Bioplastic,Board Game Box,Toys,6,16.6,7,50.7,1.56,1.183
Corrugated Cardboard,Cosmetic Tube,Cosmetics,8,21.93,7,87.37,1.6,0.782
PLA Bioplastic,Fabric Wrap,Textiles,6,16.31,6,66.49,1.48,1.13
Aluminum,Cream Jar,Cosmetics,8,22.5,2,98.69,3.02,3.535
Bagasse Fiber,Beverage Bottle,Food Packaging,5,11.18,9,70.17,1.7,0.542
Recycled PET,Pizza Box,Food Packaging,8,16.59,3,91.54,2.22,2.095
Mushroom Packaging,Foam Insert Package,Home Appliances,7,10.64,10,77.97,2.65,0.347
Bagasse Fiber,Spare Parts Box,Automotive,5,8.4,9,81.4,1.0,0.521
Aluminum,Board Game Box,Toys,9,21.03,2,99.44,4.46,3.497
Mushroom Packaging,Foam Insert Package,Home Appliances,5,12.92,9,72.56,1.85,0.387
Bagasse Fiber,Action Figure Pack,Toys,7,11.0,9,82.56,0.8,0.424
Mushroom Packaging,Action Figure Pack,Toys,7,16.95,9,66.49,1.49,0.446
Recycled PET,TV Carton,Electronics,9,28.0,3,85.89,3.83,2.173
Glass,Protective Cushioning Pack,Furniture,9,29.41,2,99.4,5.47,1.818
Bagasse Fiber,Medical Container,Healthcare,7,10.57,10,82.88,1.2,0.429
Recycled PET,Oil Container,Automotive,10,22.6,2,94.49,3.45,2.104
Aluminum,Foam Insert Package,Home Appliances,9,20.87,1,97.71,4.33,3.561
Bagasse Fiber,Fabric Wrap,Textiles,6,14.33,10,81.96,2.45,0.528
Aluminum,Assembly Kit Box,Furniture,10,26.5,2,98.32,3.62,3.513
Kraft Paper,Oil Container,Automotive,6,11.61,8,88.33,1.12,0.58
Glass,Protective Cushioning Pack,Furniture,9,34.2,1,97.81,2.25,1.796
PLA Bioplastic,Action Figure Pack,Toys,7,17.96,7,64.26,1.79,1.22
Aluminum,Makeup Box,Cosmetics,9,32.23,1,95.88,5.39,3.555
PLA Bioplastic,Battery Packaging,Automotive,8,17.36,8,67.5,2.08,1.189
PLA Bioplastic,Makeup Box,Cosmetics,6,10.9,7,55.68,1.58,1.269
PLA Bioplastic,Cement Liner Bag,Construction,7,14.11,6,61.99,1.24,1.11
Bagasse Fiber,Toy Box,Toys,7,6.56,8,75.3,2.0,0.581
Kraft Paper,Protective Cushioning Pack,Furniture,6,14.5,10,93.94,1.07,0.591
Recycled PET,Furniture Carton,Furniture,10,20.58,2,94.98,2.43,2.114
Glass,Board Game Box,Toys,9,26.17,1,97.26,5.8,1.865
Glass,Takeaway Container,Food Packaging,9,27.22,2,95.75,2.09,1.819
Mushroom Packaging,Laptop Box,Electronics,5,13.79,10,70.38,1.9,0.395
Kraft Paper,Tile Packaging,Construction,4,11.68,8,86.6,1.41,0.517
Kraft Paper,Cream Jar,Cosmetics,4,7.78,9,93.99,0.69,0.56
Glass,Hardware Container,Construction,10,25.43,2,96.55,3.01,1.771
Recycled PET,Toy Box,Toys,10,22.65,3,89.05,2.84,2.15
Corrugated Cardboard,Assembly Kit Box,Furniture,9,29.29,9,89.81,1.74,0.819
Kraft Paper,Action Figure Pack,Toys,5,5.77,9,85.86,0.42,0.491
Glass,Perfume Bottle,Cosmetics,9,29.78,2,97.58,5.77,1.779
Mushroom Packaging,Garment Bag,Textiles,5,16.7,9,63.13,3.03,0.413
Bagasse Fiber,Action Figure Pack,Toys,6,8.05,8,81.15,1.11,0.467
Mushroom Packaging,Furniture Carton,Furniture,7,16.54,9,78.43,2.84,0.433
Glass,Clothing Box,Textiles,9,38.55,2,95.9,3.54,1.815
Aluminum,Assembly Kit Box,Furniture,8,33.56,1,95.78,3.71,3.517
Bagasse Fiber,Toy Box,Toys,7,10.14,8,83.59,2.13,0.557
Recycled PET,Spare Parts Box,Automotive,9,26.03,2,85.37,3.91,2.07
Mushroom Packaging,Battery Packaging,Automotive,5,11.11,10,70.62,1.49,0.257
Recycled PET,Action Figure Pack,Toys,10,29.25,3,89.86,2.55,2.103
Recycled PET,Appliance Carton,Home Appliances,8,18.31,4,86.64,2.7,2.078
Corrugated Cardboard,Fabric Wrap,Textiles,7,33.95,7,84.0,1.06,0.789
Bagasse Fiber,Hardware Container,Construction,6,14.45,9,75.12,1.42,0.449
Mushroom Packaging,Cement Liner Bag,Construction,7,16.41,10,70.38,1.32,0.506
PLA Bioplastic,Battery Packaging,Automotive,8,16.85,8,63.92,2.37,1.222
Recycled PET,Medicine Box,Healthcare,9,23.72,3,88.13,2.59,2.097
Corrugated Cardboard,Board Game Box,Toys,7,32.28,8,87.91,0.79,0.888
Mushroom Packaging,Medicine Box,Healthcare,6,11.17,10,75.61,3.08,0.369
Recycled PET,Clothing Box,Textiles,9,25.83,2,94.03,3.51,2.091
Recycled PET,Spare Parts Box,Automotive,9,23.2,2,88.31,2.72,2.107
Aluminum,Fabric Wrap,Textiles,8,30.3,1,96.56,3.4,3.452
Kraft Paper,Battery Packaging,Automotive,7,13.02,9,88.43,1.07,0.54
Recycled PET,Medicine Box,Healthcare,10,28.82,3,85.99,2.22,2.065
PLA Bioplastic,Board Game Box,Toys,6,11.73,8,66.77,1.47,1.149
Corrugated Cardboard,Makeup Box,Cosmetics,6,20.04,8,81.25,1.6,0.833
Aluminum,Syringe Pack,Healthcare,10,33.02,2,98.75,2.62,3.477
PLA Bioplastic,Cream Jar,Cosmetics,8,17.04,6,68.71,1.19,1.217
Bagasse Fiber,Protective Box,Home Appliances,7,14.61,9,83.86,0.81,0.476
Corrugated Cardboard,TV Carton,Electronics,7,17.67,9,82.56,0.73,0.816
Kraft Paper,Cream Jar,Cosmetics,6,12.92,10,88.42,0.38,0.696
Aluminum,Electronic Blister Pack,Electronics,9,23.31,2,95.88,5.49,3.478
Mushroom Packaging,Electronic Blister Pack,Electronics,6,12.59,10,67.59,1.86,0.381
Bagasse Fiber,Tablet Blister Pack,Healthcare,5,9.8,8,74.69,1.05,0.455
Kraft Paper,Protective Cushioning Pack,Furniture,5,9.24,9,88.95,0.59,0.555
Aluminum,Spare Parts Box,Automotive,8,27.42,2,97.42,5.31,3.398
PLA Bioplastic,Battery Packaging,Automotive,7,16.73,8,59.38,2.04,1.238
PLA Bioplastic,Syringe Pack,Healthcare,9,12.61,8,51.59,1.73,1.105
Bagasse Fiber,Syringe Pack,Healthcare,5,14.81,10,75.9,2.28,0.441
Aluminum,Furniture Carton,Furniture,10,30.64,2,98.94,3.68,3.478
Aluminum,Medicine Box,Healthcare,8,29.38,2,98.02,3.51,3.492
Mushroom Packaging,Furniture Carton,Furniture,6,16.93,9,62.73,1.68,0.466
Corrugated Cardboard,Appliance Carton,Home Appliances,6,21.6,7,90.18,1.07,0.833
Aluminum,Mobile Box,Electronics,9,25.87,1,98.66,3.45,3.557
Bagasse Fiber,Appliance Carton,Home Appliances,5,13.31,10,71.17,1.95,0.438
Corrugated Cardboard,Cement Liner Bag,Construction,6,21.26,9,84.07,0.93,0.769
Bagasse Fiber,Tablet Blister Pack,Healthcare,6,11.49,9,83.51,1.78,0.55
Bagasse Fiber,Mobile Box,Electronics,7,10.43,9,82.09,0.91,0.516
Aluminum,Toy Box,Toys,9,21.89,1,96.62,3.07,3.576
Kraft Paper,Cement Liner Bag,Construction,6,7.09,9,93.78,0.79,0.528
Aluminum,Action Figure Pack,Toys,8,27.72,2,95.24,5.31,3.457
Recycled PET,Makeup Box,Cosmetics,10,21.12,2,89.54,2.44,2.147
Bagasse Fiber,Beverage Bottle,Food Packaging,5,10.17,9,75.31,1.93,0.468
Corrugated Cardboard,Hardware Container,Construction,8,30.96,7,91.28,0.88,0.789
Aluminum,Medicine Box,Healthcare,10,21.32,1,96.25,2.88,3.508
Kraft Paper,Laptop Box,Electronics,7,7.27,10,88.64,0.37,0.621
Mushroom Packaging,Fabric Wrap,Textiles,6,15.76,9,71.28,1.9,0.312
Aluminum,Fabric Wrap,Textiles,8,25.65,2,99.71,2.97,3.586
Aluminum,Hardware Container,Construction,10,34.04,1,96.29,3.02,3.355
PLA Bioplastic,Action Figure Pack,Toys,9,16.52,7,52.81,2.52,1.167
Kraft Paper,Cement Liner Bag,Construction,4,7.21,8,93.26,0.32,0.636
PLA Bioplastic,Action Figure Pack,Toys,6,10.14,6,56.98,2.12,1.187
Aluminum,Appliance Carton,Home Appliances,8,30.41,2,96.73,3.64,3.519
Recycled PET,Toy Box,Toys,9,28.05,4,89.15,2.77,2.072
Mushroom Packaging,Hardware Container,Construction,6,13.55,10,72.89,2.49,0.38
PLA Bioplastic,Tile Packaging,Construction,6,14.25,6,50.38,1.63,1.239
Aluminum,Board Game Box,Toys,8,34.55,1,99.43,3.39,3.429
Recycled PET,Mobile Box,Electronics,8,23.29,4,93.72,3.33,2.183
Mushroom Packaging,Furniture Carton,Furniture,7,15.03,9,74.37,3.2,0.345
Bagasse Fiber,Protective Box,Home Appliances,7,6.6,8,74.98,1.13,0.431
Aluminum,Cement Liner Bag,Construction,8,28.29,2,96.73,2.79,3.473
Kraft Paper,Medicine Box,Healthcare,5,8.8,10,94.18,1.38,0.614
Corrugated Cardboard,Laptop Box,Electronics,8,10.32,9,90.02,1.02,0.833
Glass,Electronic Blister Pack,Electronics,10,30.0,1,95.36,4.21,1.755
Glass,Foam Insert Package,Home Appliances,9,24.89,2,95.4,3.44,1.813
Bagasse Fiber,Pizza Box,Food Packaging,5,10.25,10,77.98,1.01,0.55
Bagasse Fiber,Pizza Box,Food Packaging,5,9.12,9,76.61,1.8,0.564
PLA Bioplastic,Makeup Box,Cosmetics,8,19.75,6,50.09,2.05,1.226
PLA Bioplastic,Tile Packaging,Construction,9,19.15,6,61.74,1.41,1.235
Kraft Paper,Battery Packaging,Automotive,6,9.72,8,93.05,0.84,0.573
Mushroom Packaging,Cement Liner Bag,Construction,5,9.17,10,78.31,3.03,0.345
Kraft Paper,Clothing Box,Textiles,7,6.65,8,90.09,1.01,0.566
Glass,Foam Insert Package,Home Appliances,9,35.6,2,95.8,2.39,1.722
Corrugated Cardboard,Assembly Kit Box,Furniture,6,26.62,9,82.04,1.32,0.767
Bagasse Fiber,Perfume Bottle,Cosmetics,7,9.02,10,81.44,1.99,0.558
Glass,Action Figure Pack,Toys,10,28.11,2,97.06,5.17,1.821
Recycled PET,Pizza Box,Food Packaging,9,24.84,2,94.33,3.07,2.155
Glass,Cosmetic Tube,Cosmetics,9,31.93,1,95.9,2.61,1.805
Glass,Appliance Carton,Home Appliances,9,37.5,1,97.01,4.84,1.748
Kraft Paper,Assembly Kit Box,Furniture,6,8.95,8,86.19,1.11,0.544
Aluminum,Laptop Box,Electronics,9,30.82,1,95.6,2.57,3.445
Bagasse Fiber,TV Carton,Electronics,6,6.0,9,82.27,1.5,0.49
Bagasse Fiber,Syringe Pack,Healthcare,5,8.83,10,78.37,1.37,0.555
Kraft Paper,Furniture Carton,Furniture,7,10.7,8,92.69,1.1,0.547
Glass,Tile Packaging,Construction,9,20.09,1,98.76,2.86,1.857
Corrugated Cardboard,Cosmetic Tube,Cosmetics,8,22.66,7,86.03,1.39,0.868
Aluminum,Laptop Box,Electronics,8,30.37,2,98.09,5.24,3.455
Kraft Paper,Hardware Container,Construction,5,7.58,9,92.41,1.26,0.635
Corrugated Cardboard,Spare Parts Box,Automotive,6,32.3,9,89.15,1.88,0.76
